language,id,text,file,node,lineNumber,lock,comment
it,line:welcome,"Barkeep: Benvenuto alla Lanterna Storta, viaggiatore!",Greeting.yarn,Greeting,8,,
it,line:greet_broke,"Barkeep: Borsa leggera stasera? Almeno il fuoco è gratis.",Greeting.yarn,Greeting,14,,
it,line:greet_back,Barkeep: Di nuovo qui? Prendi uno sgabello.,Greeting.yarn,Greeting,20,,
it,line:menu_after_song,Barkeep: Ti è piaciuta la canzone?,Tavern.yarn,Menu,14,,
it,line:menu,Barkeep: Cosa ti porto?,Tavern.yarn,Menu,16,,
it,line:order,Ordina da bere ({0} monete),Tavern.yarn,Menu,18,,
it,line:listen,Ascolta il bardo,Tavern.yarn,Menu,20,,
it,line:rumours,Qualche voce in giro?,Tavern.yarn,Menu,22,,
it,line:rumour_mill,Barkeep: Dicono che il vecchio mulino sia [wave]infestato[/wave].,Tavern.yarn,Menu,23,,
it,line:goodnight,Buonanotte,Tavern.yarn,Menu,24,,
it,line:safe_travels,Barkeep: Buon viaggio!,Tavern.yarn,Menu,25,,
it,line:ale,"Barkeep: Una Birra della Lanterna, arriva subito.",Tavern.yarn,Drink,32,,
it,line:another,Barkeep: Un'altra? Tornerai a casa galleggiando. [pause=400/],Tavern.yarn,Drink,35,,
it,line:bard_intro,Bard: Una canzone per la sala!,Bard.yarn,Bard,6,,
it,line:song_lantern,"Bard: ♪ Oh, la lanterna brilla forte stanotte... ♪",Bard.yarn,Bard,7,,
it,line:song_mill,Bard: ♪ Il fantasma del mugnaio gira e gira... ♪,Bard.yarn,Bard,8,,
it,line:song_coins,"Bard: ♪ Al viaggiatore, con {0} monete da spendere! ♪",Bard.yarn,Bard,9,,
it,line:bard_thanks,"Bard: Grazie, grazie!",Bard.yarn,Bard,10,,
